X;Y
10000;6.282151648262513E-4
20000;3.1413342796682286E-4
30000;2.0942801834245017E-4
40000;1.5707317009017174E-4
50000;1.256595645777736E-4
60000;1.0471688737556661E-4
70000;8.975769046770665E-5
80000;7.853818084235797E-5
90000;6.981190329646836E-5
100000;6.283079208468934E-5
110000;5.711898985349961E-5
120000;5.2359148549285806E-5
130000;4.8331598535789055E-5
140000;4.487935693919809E-5
150000;4.188744683109036E-5
160000;3.926947034660344E-5
170000;3.695955132787532E-5
180000;3.490622209678662E-5
190000;3.3069090280335445E-5
200000;3.1415625329600516E-5
210000;2.9919700320846232E-5
220000;2.8559756919399604E-5
230000;2.7318013253285756E-5
240000;2.617969985152513E-5
250000;2.5132551303208572E-5
260000;2.4165963409039648E-5
270000;2.3270875963099513E-5
280000;2.2439795235307258E-5
290000;2.1666081530646863E-5
300000;2.0943815597362914E-5
310000;2.0268207005180727E-5
320000;1.9634906118781714E-5
330000;1.9039756977257127E-5
340000;1.847984526559543E-5
350000;1.7951771858371046E-5
360000;1.7453197715511237E-5
370000;1.6981432271911956E-5
380000;1.6534697990344682E-5
390000;1.6110693542792376E-5
400000;1.5707898179506685E-5
410000;1.53247404890422E-5
420000;1.4959920509483027E-5
430000;1.4611939596953505E-5
440000;1.4279789768423257E-5
450000;1.3962600641903578E-5
460000;1.3659076152805483E-5
470000;1.3368427084436973E-5
480000;1.3089804005161909E-5
490000;1.2822784133170728E-5
500000;1.2566343670528113E-5
510000;1.231997144568453E-5
520000;1.2082949253588993E-5
530000;1.185503777634267E-5
540000;1.163559783812218E-5
550000;1.1423890223127842E-5
560000;1.1219943494289453E-5
570000;1.1022985836994792E-5
580000;1.0832912835212483E-5
590000;1.0649458413780621E-5
600000;1.0471907953224502E-5
610000;1.0300325480550043E-5
620000;1.0134106676495946E-5
630000;9.973368583438003E-6
640000;9.81734850302729E-6
650000;9.666265138541519E-6
660000;9.520067705715007E-6
670000;9.377887566053289E-6
680000;9.239951255679557E-6
690000;9.106087929922069E-6
700000;8.975875911865216E-6
710000;8.849584120618204E-6
720000;8.726562525929182E-6
730000;8.606915450570796E-6
740000;8.490800183835745E-6
750000;8.37760806238208E-6
760000;8.267244298920673E-6
770000;8.160048409422416E-6
780000;8.055223525538224E-6
790000;7.95347180382322E-6
800000;7.853956551784336E-6
810000;7.75682383125087E-6
820000;7.662529720064981E-6
830000;7.57024169217857E-6
840000;7.4800778788741695E-6
850000;7.391875445961205E-6
860000;7.306105375803895E-6
870000;7.2220774463005455E-6
880000;7.139802051803201E-6
890000;7.059854775448571E-6
900000;6.981365652691807E-6
910000;6.904709583643864E-6
920000;6.829614851433519E-6
930000;6.756106773586623E-6
940000;6.684022535452527E-6
950000;6.613874633742967E-6
960000;6.544894730176054E-6
970000;6.477291989881451E-6
980000;6.411373857595493E-6
990000;6.346635512244347E-6
1000000;6.2831608795832494E-6
1010000;6.220901723530403E-6
1020000;6.160048093839521E-6
1030000;6.100014286580802E-6
1040000;6.04176146890012E-6
1050000;5.984143214732285E-6
1060000;5.9275083446053145E-6
1070000;5.872016046737372E-6
1080000;5.817489824977429E-6
1090000;5.764382692952097E-6
1100000;5.711891087223364E-6
1110000;5.6605372513729435E-6
1120000;5.609882651747E-6
1130000;5.5601860351472965E-6
1140000;5.511908644173502E-6
1150000;5.463277862105542E-6
1160000;5.416287674364639E-6
1170000;5.370227555978602E-6
1180000;5.324725814936926E-6
1190000;5.279682220304949E-6
1200000;5.235931869407295E-6
1210000;5.192699569889214E-6
1220000;5.149993590691793E-6
1230000;5.108453442481675E-6
1240000;5.067329972519019E-6
1250000;5.0263151951668306E-6
1260000;4.986528074013563E-6
1270000;4.947617204820176E-6
1280000;4.90891769278079E-6
1290000;4.870559473957314E-6
1300000;4.833411933802267E-6
1310000;4.7962322842209915E-6
1320000;4.759959889355514E-6
1330000;4.723939959205836E-6
1340000;4.6891617984101686E-6
1350000;4.653872930582281E-6
1360000;4.6200853791589225E-6
1370000;4.586238873116599E-6
1380000;4.5531554455635614E-6
1390000;4.519982010009471E-6
1400000;4.488019420101352E-6
1410000;4.456094006677347E-6
1420000;4.424940051706017E-6
1430000;4.393819600601034E-6
1440000;4.3634785802382225E-6
1450000;4.332911813342832E-6
1460000;4.303482096013056E-6
1470000;4.274237560331073E-6
1480000;4.245405413882963E-6
1490000;4.2170571017408065E-6
1500000;4.188663841553364E-6
1510000;4.160826700072562E-6
1520000;4.133685998830572E-6
1530000;4.106427691219494E-6
1540000;4.080064978317921E-6
1550000;4.053548573246246E-6
1560000;4.0279049766667185E-6
1570000;4.001788703966724E-6
1580000;3.976536788741214E-6
1590000;3.95131647845659E-6
1600000;3.9269668814512215E-6
1610000;3.902673801015055E-6
1620000;3.8783458737867704E-6
1630000;3.854956367455031E-6
1640000;3.831161357048529E-6
1650000;3.807782205100807E-6
1660000;3.7850717635734554E-6
1670000;3.7622004720461177E-6
1680000;3.7402080605986043E-6
1690000;3.7176174307873566E-6
1700000;3.6960440974453945E-6
1710000;3.6746121887532013E-6
1720000;3.6532996636751136E-6
1730000;3.6319148666308365E-6
1740000;3.6107764378456864E-6
1750000;3.589981232288153E-6
1760000;3.569762064614679E-6
1770000;3.54993848539209E-6
1780000;3.5299721776738124E-6
1790000;3.510212665425172E-6
1800000;3.4904252279588377E-6
1810000;3.47162750191643E-6
1820000;3.452060829189918E-6
1830000;3.4329554541301377E-6
1840000;3.414551301261781E-6
1850000;3.396094871987998E-6
1860000;3.3778864905187334E-6
1870000;3.359464832541903E-6
1880000;3.3420379850213067E-6
1890000;3.3246643225126604E-6
1900000;3.3066485540800272E-6
1910000;3.2896783697111687E-6
1920000;3.2722927318928896E-6
1930000;3.255951896541376E-6
1940000;3.238503358815592E-6
1950000;3.2224077930465E-6
1960000;3.20606833259518E-6
1970000;3.189159970773403E-6
1980000;3.1736294641149243E-6
1990000;3.1568919514057825E-6
2000000;3.1415678440893657E-6
2010000;3.125380199975325E-6
2020000;3.1104163698003617E-6
2030000;3.0948309399647655E-6
2040000;3.080073360806068E-6
2050000;3.0650918132479887E-6
2060000;3.049960838552579E-6
2070000;3.035849774235544E-6
2080000;3.0213680544122212E-6
2090000;3.0061174376427857E-6
2100000;2.9922546884719736E-6
2110000;2.9781183030763714E-6
2120000;2.9637431024909233E-6
2130000;2.949555004683191E-6
2140000;2.9364573475021416E-6
2150000;2.9221041701887884E-6
2160000;2.9084766817177865E-6
2170000;2.8954589588181534E-6
2180000;2.882187608577169E-6
2190000;2.869127080806777E-6
2200000;2.8555310382927246E-6
2210000;2.8427504785710767E-6
2220000;2.8302728045659364E-6
2230000;2.817694641166213E-6
2240000;2.8052822749202733E-6
2250000;2.7927835493102293E-6
2260000;2.780354400044871E-6
2270000;2.767834875960773E-6
2280000;2.755563680345574E-6
2290000;2.743346259492796E-6
2300000;2.731349228568547E-6
2310000;2.720014428803097E-6
2320000;2.7078119906320808E-6
2330000;2.696072159302787E-6
2340000;2.685485131159737E-6
2350000;2.6736288045725587E-6
2360000;2.6627402309742365E-6
2370000;2.6510155830550275E-6
2380000;2.6398355190693223E-6
2390000;2.629194034931004E-6
2400000;2.617863747111926E-6
2410000;2.606914280001149E-6
2420000;2.5967319920994214E-6
2430000;2.5853527834129864E-6
2440000;2.575540202442994E-6
2450000;2.565042150237673E-6
2460000;2.5537389536367527E-6
2470000;2.5441511937174255E-6
2480000;2.5336298250522304E-6
2490000;2.5231455813568004E-6
2500000;2.513549374860702E-6
2510000;2.5030606183307214E-6
2520000;2.493664915448335E-6
2530000;2.4834636951354128E-6
2540000;2.4736928123658686E-6
2550000;2.4637041349251376E-6
2560000;2.454585855460323E-6
2570000;2.4443839885535112E-6
2580000;2.435312184800864E-6
2590000;2.4253617860736654E-6
2600000;2.4167997256796525E-6
2610000;2.407179881203092E-6
2620000;2.3980591139505236E-6
2630000;2.3898307963676757E-6
2640000;2.3798250738948923E-6
2650000;2.3709886480816067E-6
2660000;2.3622277423029914E-6
2670000;2.3533586768209602E-6
2680000;2.3444466910049755E-6
2690000;2.335097907035788E-6
2700000;2.3269540108117326E-6
2710000;2.319045313114998E-6
2720000;2.3099221539979453E-6
2730000;2.3017167150030104E-6
2740000;2.2934025247778322E-6
2750000;2.285028320336835E-6
2760000;2.2763773017686617E-6
2770000;2.2682652058847452E-6
2780000;2.260436483325634E-6
2790000;2.2520692359861982E-6
2800000;2.2441757581148636E-6
2810000;2.236167652824861E-6
2820000;2.2284940675021403E-6
2830000;2.219820331106348E-6
2840000;2.212362105957766E-6
2850000;2.2048031107502197E-6
2860000;2.197364270983826E-6
2870000;2.189604144220425E-6
2880000;2.1811174342190043E-6
2890000;2.174578053626419E-6
2900000;2.166290282268335E-6
2910000;2.159126176515258E-6
2920000;2.1522953197461447E-6
2930000;2.14437179568705E-6
2940000;2.137095648002685E-6
2950000;2.130344046946675E-6
2960000;2.1222264150466685E-6
2970000;2.1155344205325832E-6
2980000;2.1086327155472873E-6
2990000;2.102216195787321E-6
3000000;2.094581376788085E-6
3010000;2.08720494576653E-6
3020000;2.080888746647247E-6
3030000;2.0732871197637337E-6
3040000;2.0665706665923267E-6
3050000;2.059717582270082E-6
3060000;2.0535402418531135E-6
3070000;2.0475012210141585E-6
3080000;2.0400731584047094E-6
3090000;2.0334145540701343E-6
3100000;2.0266728419926494E-6
3110000;2.020719529483017E-6
3120000;2.0137166405476137E-6
3130000;2.007691077388074E-6
3140000;2.000553212866407E-6
3150000;1.995110586960891E-6
3160000;1.9885304469724474E-6
3170000;1.9821658012730836E-6
3180000;1.9760427445447704E-6
3190000;1.9693812456367255E-6
3200000;1.962953977141524E-6
3210000;1.9572818112933987E-6
3220000;1.951370456332313E-6
3230000;1.945402950731534E-6
3240000;1.9385084941703212E-6
3250000;1.933058425329648E-6
3260000;1.926610366353998E-6
3270000;1.9224060316958003E-6
3280000;1.9162731890176588E-6
3290000;1.909849064674063E-6
3300000;1.9046210164574973E-6
3310000;1.8977326119440363E-6
3320000;1.893094037974663E-6
3330000;1.886117818372668E-6
3340000;1.880949501931184E-6
3350000;1.8754758839278907E-6
3360000;1.8692622969496142E-6
3370000;1.8648379409569316E-6
3380000;1.858627149076142E-6
3390000;1.8533114456431576E-6
3400000;1.8480299379675103E-6
3410000;1.8430644148637043E-6
3420000;1.8371675443162871E-6
3430000;1.8317942851453495E-6
3440000;1.8261796403962194E-6
3450000;1.8207167675754476E-6
3460000;1.8160120500709809E-6
3470000;1.8103705929917169E-6
3480000;1.8055143238271398E-6
3490000;1.800416539410321E-6
3500000;1.7947472619184168E-6
3510000;1.7900654505353941E-6
3520000;1.7851400553325902E-6
3530000;1.7804642853391783E-6
3540000;1.7742713076529526E-6
3550000;1.769976352150593E-6
3560000;1.7650359547261019E-6
3570000;1.7599637587295547E-6
3580000;1.7555851137274203E-6
3590000;1.7506334941685964E-6
3600000;1.7448399036723572E-6
3610000;1.7405218155630564E-6
3620000;1.7350253438408458E-6
3630000;1.730888857132129E-6
3640000;1.7263845935033828E-6
3650000;1.7225106763163467E-6
3660000;1.7165539381025496E-6
3670000;1.712593366676174E-6
3680000;1.7068996225333422E-6
3690000;1.702310820306252E-6
3700000;1.6982802906184702E-6
3710000;1.6940749922866871E-6
3720000;1.6888418334914945E-6
3730000;1.68493375518608E-6
3740000;1.6797486113162563E-6
3750000;1.6760067866883332E-6
3760000;1.6713822086344976E-6
3770000;1.6668770275174438E-6
3780000;1.6626971683919578E-6
3790000;1.6569780685316005E-6
3800000;1.6527353592366012E-6
3810000;1.6497681647464901E-6
3820000;1.6454829721013198E-6
3830000;1.639835439881665E-6
3840000;1.6371424047534333E-6
3850000;1.6316138138350311E-6
3860000;1.6281109491700363E-6
3870000;1.6245415466187296E-6
3880000;1.6197727870093104E-6
3890000;1.6146436498942762E-6
3900000;1.611364217168898E-6
3910000;1.6062901861957357E-6
3920000;1.6034099932227264E-6
3930000;1.597583116463852E-6
3940000;1.5947268128257974E-6
3950000;1.5914983961806684E-6
3960000;1.5866862783653346E-6
3970000;1.5826324704093508E-6
3980000;1.5784572955368503E-6
3990000;1.5751709367961553E-6
4000000;1.5707718921120772E-6
4010000;1.5665626662553223E-6
4020000;1.5633505032752737E-6
4030000;1.5592467841329949E-6
4040000;1.555827499721829E-6
4050000;1.5509046829009776E-6
4060000;1.5479755903768933E-6
4070000;1.544214118354148E-6
4080000;1.540082577022872E-6
4090000;1.5357319993469787E-6
4100000;1.5325934334953217E-6
4110000;1.5296895323757553E-6
4120000;1.5249196287925315E-6
4130000;1.5211893265032472E-6
4140000;1.5178069086019264E-6
4150000;1.5143528351302393E-6
4160000;1.5099774186566606E-6
4170000;1.5058353577401817E-6
4180000;1.5028801794159108E-6
4190000;1.4996117503329742E-6
4200000;1.4962664485196342E-6
4210000;1.4929617577763565E-6
4220000;1.4891371975522816E-6
4230000;1.4841410447274939E-6
4240000;1.4818583116138484E-6
4250000;1.4787466087184953E-6
4260000;1.4753963997193864E-6
4270000;1.472294261617435E-6
4280000;1.4683466433851322E-6
4290000;1.4645956563086315E-6
4300000;1.4605930722666471E-6
4310000;1.4582303142773867E-6
4320000;1.4539533985669095E-6
4330000;1.4514191404302323E-6
4340000;1.4484236299239228E-6
4350000;1.4439321711634534E-6
4360000;1.440386479423239E-6
4370000;1.438337710268911E-6
4380000;1.4339332832236096E-6
4390000;1.4304804905052038E-6
4400000;1.4272211146248992E-6
4410000;1.4250266753279561E-6
4420000;1.4216171972947222E-6
4430000;1.4181400116441978E-6
4440000;1.415142031113703E-6
4450000;1.4125729315139779E-6
4460000;1.408540311054196E-6
4470000;1.405838901291645E-6
4480000;1.401816209778417E-6
4490000;1.3992304506160735E-6
4500000;1.3968232464023345E-6
4510000;1.3929955073876954E-6
4520000;1.3907505307386714E-6
4530000;1.3874787967438351E-6
4540000;1.383869282278738E-6
4550000;1.3811857142442818E-6
4560000;1.3781414098801292E-6
4570000;1.3752187077997746E-6
4580000;1.3722906038182714E-6
4590000;1.368423387937412E-6
4600000;1.3661287807664735E-6
4610000;1.3631114850198855E-6
4620000;1.3602255117817208E-6
4630000;1.3565268854875967E-6
4640000;1.3538583418792882E-6
4650000;1.3510349035072977E-6
4660000;1.3489664461019402E-6
4670000;1.345609377700896E-6
4680000;1.3418362740935663E-6
4690000;1.339177306824979E-6
4700000;1.3360211266189026E-6
4710000;1.333415696969098E-6
4720000;1.3303790282748196E-6
4730000;1.3279024946299955E-6
4740000;1.325775476956892E-6
4750000;1.3229555904104018E-6
4760000;1.320291352691072E-6
4770000;1.3169861547979167E-6
4780000;1.3141317118936513E-6
4790000;1.3112412480253965E-6
4800000;1.3092824202587394E-6
4810000;1.3057478813749412E-6
4820000;1.3038452548741475E-6
4830000;1.300606086829248E-6
4840000;1.29742987109438E-6
4850000;1.2952319252690359E-6
4860000;1.2936731792478895E-6
4870000;1.2896559491437642E-6
4880000;1.2879210817828834E-6
4890000;1.2852385919970288E-6
4900000;1.2816983501195978E-6
4910000;1.279210294136135E-6
4920000;1.2774089821476764E-6
4930000;1.2753471940740724E-6
4940000;1.2706936125539414E-6
4950000;1.2699086635592494E-6
4960000;1.2665364836905724E-6
4970000;1.2645477074357814E-6
4980000;1.2613914082137967E-6
